Anime,Note_Globale,Nb_Episodes,Status,Score_Prometteur,CSS_Class,Explication_Verdict
Naruto,8.4,220,Fini,6.4,status-pepite,✅ Série terminée. Valeur sûre.
Trigun,8.2,26,Fini,6.61,status-pepite,✅ Série terminée. Valeur sûre.
Dragon Ball Z,8.7,291,Fini,6.64,status-pepite,✅ Série terminée. Valeur sûre.
Fullmetal Alchemist: Brotherhood,9.1,64,Fini,7.02,status-pepite,✅ Série terminée. Valeur sûre.
Cowboy Bebop,8.8,26,Fini,7.19,status-pepite,✅ Série terminée. Valeur sûre.
Sword Art Online,7.2,25,Fini,5.79,status-pepite,✅ Série terminée. Valeur sûre.
Re:Zero,8.2,50,Fini,6.98,status-pepite,✅ Série terminée. Valeur sûre.
Dr. Stone,8.3,57,En cours,6.91,status-hyped,✨ En cours mais excellent (8.3/10).
One Piece,8.7,1090,En cours,6.48,status-hyped,✨ En cours mais excellent (8.7/10).
Blue Lock,8.2,36,En cours,6.39,status-hyped,✨ En cours mais excellent (8.2/10).
Haikyuu!!,8.7,85,Fini,7.23,status-pepite,✅ Série terminée. Valeur sûre.
One Punch Man,8.5,24,En cours,6.86,status-hyped,✨ En cours mais excellent (8.5/10).
Solo Leveling,8.3,12,En cours,6.51,status-hyped,✨ En cours mais excellent (8.3/10).
Les Carnets de l'apothicaire,8.8,24,En cours,7.49,status-hyped,✨ En cours mais excellent (8.8/10).
Medalist,8.0,3,En cours,3.98,status-rejected,⚠️ Trop risqué : Note de 8.0/10 (Manque 0.0 pts).
Du mouvement de la Terre,8.4,8,Fini,7.27,status-pepite,✅ Série terminée. Valeur sûre.
Samurai Champloo,8.5,26,Fini,7.14,status-pepite,✅ Série terminée. Valeur sûre.
L'Attaque des Titans,8.5,89,Fini,6.83,status-pepite,✅ Série terminée. Valeur sûre.
Death Note,8.6,37,Fini,7.09,status-pepite,✅ Série terminée. Valeur sûre.
Hunter x Hunter (2011),9.0,148,Fini,6.79,status-pepite,✅ Série terminée. Valeur sûre.
Code Geass,8.7,50,Fini,7.08,status-pepite,✅ Série terminée. Valeur sûre.
Steins;Gate,9.1,24,Fini,7.61,status-pepite,✅ Série terminée. Valeur sûre.
GTO,8.7,43,Fini,7.26,status-pepite,✅ Série terminée. Valeur sûre.
Naruto Shippuden,8.2,500,Fini,5.67,status-pepite,✅ Série terminée. Valeur sûre.
Psycho-Pass,8.3,41,Fini,6.66,status-pepite,✅ Série terminée. Valeur sûre.
My Hero Academia,7.9,138,En cours,5.98,status-rejected,⚠️ Trop risqué : Note de 7.9/10 (Manque 0.1 pts).
Bleach,7.9,366,Fini,5.69,status-pepite,✅ Série terminée. Valeur sûre.
Parasite: La Maxime,8.3,24,Fini,7.09,status-pepite,✅ Série terminée. Valeur sûre.
Demon Slayer,8.5,55,En cours,6.95,status-hyped,✨ En cours mais excellent (8.5/10).
Erased,8.3,12,Fini,6.76,status-pepite,✅ Série terminée. Valeur sûre.
Tokyo Ghoul,7.5,48,Fini,5.62,status-pepite,✅ Série terminée. Valeur sûre.
Mushishi,8.7,26,Fini,7.48,status-pepite,✅ Série terminée. Valeur sûre.
JoJo's Bizarre Adventure,8.0,26,Fini,6.65,status-pepite,✅ Série terminée. Valeur sûre.
Jujutsu Kaisen,8.6,47,En cours,7.18,status-hyped,✨ En cours mais excellent (8.6/10).
Boruto: Naruto Next Generations,6.0,293,En pause,4.33,status-rejected,⚠️ Trop risqué : Note de 6.0/10 (Manque 2.0 pts).
Frieren: Beyond Journey's End,9.3,28,En cours,7.56,status-hyped,✨ En cours mais excellent (9.3/10).
Hell's Paradise,7.7,13,En cours,6.63,status-rejected,⚠️ Trop risqué : Note de 7.7/10 (Manque 0.3 pts).
My Hero Academia: Vigilantes,7.6,13,En cours,6.62,status-rejected,⚠️ Trop risqué : Note de 7.6/10 (Manque 0.4 pts).
Claymore,7.7,26,Fini,6.82,status-pepite,✅ Série terminée. Valeur sûre.
Claymore,7.7,26,Fini,6.82,status-pepite,✅ Série terminée. Valeur sûre.
L'Attaque des Titans,8.5,89,Fini,6.83,status-pepite,✅ Série terminée. Valeur sûre.
One Outs,8.3,25,Fini,7.01,status-pepite,✅ Série terminée. Valeur sûre.
Zetsuen No Tempest,7.9,24,Fini,6.85,status-pepite,✅ Série terminée. Valeur sûre.
Your Lie in April,8.6,22,Fini,7.57,status-pepite,✅ Série terminée. Valeur sûre.
Monster,8.9,74,Fini,7.39,status-pepite,✅ Série terminée. Valeur sûre.
Hajime no Ippo,8.8,76,Fini,7.36,status-pepite,✅ Série terminée. Valeur sûre.
Kenshin le Vagabond,8.3,95,Fini,6.56,status-pepite,✅ Série terminée. Valeur sûre.
Yū Yū Hakusho,8.5,112,Fini,7.11,status-pepite,✅ Série terminée. Valeur sûre.
Demon Slayer: Kimetsu no Yaiba,8.5,55,En cours,7.03,status-hyped,✨ En cours mais excellent (8.5/10).
The Eminence in Shadow,8.2,32,En cours,6.98,status-hyped,✨ En cours mais excellent (8.2/10).
Black Clover,8.1,170,En pause,4.97,status-hyped,✨ En cours mais excellent (8.1/10).
The Promised Neverland,8.5,23,Fini,6.24,status-pepite,✅ Série terminée. Valeur sûre.
Chainsaw Man,8.4,12,En cours,7.25,status-hyped,✨ En cours mais excellent (8.4/10).
Vinland Saga,8.8,48,En cours,7.35,status-hyped,✨ En cours mais excellent (8.8/10).
Fairy Tail,7.6,328,En cours,6.51,status-rejected,⚠️ Trop risqué : Note de 7.6/10 (Manque 0.4 pts).
Mashle: Magic and Muscles,7.6,24,En cours,6.72,status-rejected,⚠️ Trop risqué : Note de 7.6/10 (Manque 0.4 pts).
SPY×FAMILY,8.4,37,En cours,7.25,status-hyped,✨ En cours mais excellent (8.4/10).
Dan Da Dan,8.4,12,En cours,7.23,status-hyped,✨ En cours mais excellent (8.4/10).
Made in Abyss,8.6,25,En cours,7.2,status-hyped,✨ En cours mais excellent (8.6/10).
Kuroko's Basket,8.1,75,Fini,6.88,status-pepite,✅ Série terminée. Valeur sûre.
Mob Psycho 100,8.5,37,Fini,7.15,status-pepite,✅ Série terminée. Valeur sûre.
